"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62900.00",428761,593569,"62900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62900.00",428762,593570,"62900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62800.00",428763,593571,"62800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62700.00",428764,593572,"62700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62600.00",428765,593573,"62600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62500.00",428766,593574,"62500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62400.00",428767,593575,"62400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62300.00",428768,593576,"62300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62200.00",428769,593577,"62200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62100.00",428770,593578,"62100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 62000.00",428771,593579,"62000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61900.00",428772,593580,"61900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61800.00",428773,593581,"61800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61700.00",428774,593582,"61700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61600.00",428775,593583,"61600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61500.00",428776,593584,"61500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61400.00",428777,593585,"61400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61300.00",428778,593586,"61300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61200.00",428779,593587,"61200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61100.00",428780,593588,"61100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 61000.00",428781,593589,"61000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60900.00",428782,593590,"60900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60800.00",428783,593591,"60800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60700.00",428784,593592,"60700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60600.00",428785,593593,"60600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60500.00",428786,593594,"60500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 60400.00",428787,593595,"60400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63000.00",428788,593596,"63000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63100.00",428789,593597,"63100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63200.00",428790,593598,"63200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63300.00",428791,593599,"63300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63400.00",428792,593600,"63400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63500.00",428793,593601,"63500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63600.00",428794,593602,"63600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63700.00",428795,593603,"63700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63800.00",428796,593604,"63800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 63900.00",428797,593605,"63900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64000.00",428798,593606,"64000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64100.00",428799,593607,"64100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64200.00",428800,593608,"64200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64300.00",428801,593609,"64300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64400.00",428802,593610,"64400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64500.00",428803,593611,"64500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64600.00",428804,593612,"64600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64700.00",428805,593613,"64700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64800.00",428806,593614,"64800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 64900.00",428807,593615,"64900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65000.00",428808,593616,"65000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65100.00",428809,593617,"65100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65200.00",428810,593618,"65200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65300.00",428811,593619,"65300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65400.00",428812,593620,"65400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62800.00",428813,593621,"62800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62700.00",428814,593622,"62700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62600.00",428815,593623,"62600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62500.00",428816,593624,"62500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62400.00",428817,593625,"62400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62300.00",428818,593626,"62300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62200.00",428819,593627,"62200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62100.00",428820,593628,"62100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 62000.00",428821,593629,"62000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61900.00",428822,593630,"61900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61800.00",428823,593631,"61800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61700.00",428824,593632,"61700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61600.00",428825,593633,"61600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61500.00",428826,593634,"61500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61400.00",428827,593635,"61400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61300.00",428828,593636,"61300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61200.00",428829,593637,"61200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61100.00",428830,593638,"61100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 61000.00",428831,593639,"61000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60900.00",428832,593640,"60900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60800.00",428833,593641,"60800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60700.00",428834,593642,"60700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60600.00",428835,593643,"60600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60500.00",428836,593644,"60500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 60400.00",428837,593645,"60400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63000.00",428838,593646,"63000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63100.00",428839,593647,"63100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63200.00",428840,593648,"63200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63300.00",428841,593649,"63300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63400.00",428842,593650,"63400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63500.00",428843,593651,"63500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63600.00",428844,593652,"63600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63700.00",428845,593653,"63700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63800.00",428846,593654,"63800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 63900.00",428847,593655,"63900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64000.00",428848,593656,"64000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64100.00",428849,593657,"64100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64200.00",428850,593658,"64200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64300.00",428851,593659,"64300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64400.00",428852,593660,"64400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64500.00",428853,593661,"64500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64600.00",428854,593662,"64600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64700.00",428855,593663,"64700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64800.00",428856,593664,"64800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 64900.00",428857,593665,"64900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65000.00",428858,593666,"65000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65100.00",428859,593667,"65100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65200.00",428860,593668,"65200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65300.00",428861,593669,"65300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65400.00",428862,593670,"65400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65500.00",428971,593671,"65500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65600.00",428972,593672,"65600.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65700.00",428973,593673,"65700.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65800.00",428974,593674,"65800.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 65900.00",428975,593675,"65900.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66000.00",428976,593676,"66000.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66100.00",428977,593677,"66100.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65500.00",428978,593678,"65500.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65600.00",428979,593679,"65600.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65700.00",428980,593680,"65700.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65800.00",428981,593681,"65800.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 65900.00",428982,593682,"65900.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 66000.00",428983,593683,"66000.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 66100.00",428984,593684,"66100.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66200.00",428986,593685,"66200.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66300.00",428987,593686,"66300.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66400.00",428988,593687,"66400.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 CE 66500.00",428989,593688,"66500.00",20250127,1,"0.50","OPTFUT","CE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 66200.00",428990,593689,"66200.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 66300.00",428991,593690,"66300.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
"COMM","MCX","MXCOM","GOLD 27JAN2025 PE 66400.00",428992,593691,"66400.00",20250127,1,"0.50","OPTFUT","PE","","","","","100.0000","1.0000",false,"","","","",false,""
