"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"FNO","NSE","NFO","011NSETEST FUT 27Nov2036",36687,2091873,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","021NSETEST FUT 27Nov2036",36690,2091875,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","031NSETEST FUT 27Nov2036",36691,2091876,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","041NSETEST FUT 27Nov2036",36694,2091879,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","051NSETEST FUT 27Nov2036",36697,2091882,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","061NSETEST FUT 27Nov2036",36700,2091885,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","071NSETEST FUT 27Nov2036",36702,2091887,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","081NSETEST FUT 27Nov2036",36709,2091892,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","091NSETEST FUT 27Nov2036",36713,2091896,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","101NSETEST FUT 27Nov2036",36715,2091898,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","111NSETEST FUT 27Nov2036",36716,2091899,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","121NSETEST FUT 27Nov2036",36718,2091901,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","131NSETEST FUT 27Nov2036",36720,2091903,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","141NSETEST FUT 27Nov2036",36721,2091904,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","151NSETEST FUT 27Nov2036",36724,2091907,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","161NSETEST FUT 27Nov2036",36725,2091908,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","171NSETEST FUT 27Nov2036",48576,2823938,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","181NSETEST FUT 27Nov2036",48577,2823939,"-.01",20361127,50,"5","FUTSTK","XX","","",100000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND FUT 26Dec2024",35028,3027246,"-.01",20241226,1000,"5","FUTSTK","XX","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 240.0000",39001,3031098,"240.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 240.0000",39002,3031099,"240.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 290.0000",39009,3031106,"290.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 290.0000",39010,3031107,"290.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 260.0000",39919,3031986,"260.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 260.0000",39995,3032054,"260.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 310.0000",41799,3033851,"310.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 310.0000",41028,3033080,"310.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 280.0000",58143,3042928,"280.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 280.0000",58144,3042929,"280.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 200.0000",47721,3037891,"200.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 200.0000",47741,3037902,"200.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 220.0000",47742,3037903,"220.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 220.0000",47743,3037904,"220.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 270.0000",47744,3037905,"270.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 270.0000",47745,3037906,"270.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 340.0000",49237,3038440,"340.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 340.0000",49238,3038441,"340.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 300.0000",57259,3042255,"300.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 300.0000",57260,3042256,"300.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 320.0000",50999,3039297,"320.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 320.0000",51008,3039304,"320.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 380.0000",51009,3039305,"380.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 380.0000",51010,3039306,"380.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 330.0000",67232,3049860,"330.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 330.0000",67233,3049861,"330.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 350.0000",67234,3049862,"350.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 350.0000",67235,3049863,"350.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 370.0000",67236,3049864,"370.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 370.0000",67237,3049865,"370.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 390.0000",67238,3049866,"390.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 390.0000",67285,3049913,"390.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 410.0000",67286,3049914,"410.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 410.0000",67287,3049915,"410.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 430.0000",67288,3049916,"430.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 430.0000",67289,3049917,"430.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 450.0000",67290,3049918,"450.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 450.0000",67291,3049919,"450.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 470.0000",67292,3049920,"470.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 470.0000",67299,3049927,"470.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 490.0000",67300,3049928,"490.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 490.0000",67319,3049947,"490.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 510.0000",67320,3049948,"510.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 510.0000",67321,3049949,"510.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 530.0000",67330,3049955,"530.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 530.0000",67331,3049956,"530.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 550.0000",67334,3049958,"550.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 550.0000",67335,3049959,"550.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 570.0000",67336,3049960,"570.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 570.0000",67337,3049961,"570.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 590.0000",67338,3049962,"590.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 590.0000",67339,3049963,"590.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 610.0000",67340,3049964,"610.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 610.0000",67341,3049965,"610.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 630.0000",67342,3049966,"630.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 630.0000",67373,3049997,"630.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 360.0000",64929,3048131,"360.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 360.0000",64932,3048134,"360.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 400.0000",64933,3048135,"400.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 400.0000",64940,3048142,"400.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 420.0000",64941,3048143,"420.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 420.0000",64945,3048147,"420.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 440.0000",64946,3048148,"440.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 440.0000",64947,3048149,"440.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 460.0000",64948,3048150,"460.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 PE 460.0000",64949,3048151,"460.00",20241226,1000,"5","OPTSTK","PE","","",50000,"0.00","","",false,"","","","",false,""
"FNO","NSE","NFO","AARTIIND 26Dec2024 CE 480.0000",64950,3048152,"480.00",20241226,1000,"5","OPTSTK","CE","","",50000,"0.00","","",false,"","","","",false,""
