Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size,freeze_qty,Board Lot Qty,Group Name,pdc
NFO,nse_fo,NIFTYNXT50,35000,FUTIDX,XX,-1.0,NIFTYNXT50,NIFTYNXT50 DEC FUT,NIFTYNXT5027DEC24F,2024-12-27,10.0,0.05,,,,
NFO,nse_fo,MIDCPNIFTY,35004,FUTIDX,XX,-1.0,MIDCPNIFTY,MIDCPNIFTY DEC FUT,MIDCPNIFTY30DEC24F,2024-12-30,50.0,0.05,,,,
NFO,nse_fo,NIFTY,35005,FUTIDX,XX,-1.0,NIFTY,NIFTY DEC FUT,NIFTY26DEC24F,2024-12-26,25.0,0.05,,,,
NFO,nse_fo,BANKNIFTY,35006,FUTIDX,XX,-1.0,BANKNIFTY,BANKNIFTY OCT FUT,BANKNIFTY30OCT24F,2024-10-30,15.0,0.05,,,,
NFO,nse_fo,MIDCPNIFTY,35007,FUTIDX,XX,-1.0,MIDCPNIFTY,MIDCPNIFTY JAN25 FUT,MIDCPNIFTY27JAN25F,2025-01-27,50.0,0.05,,,,
NFO,nse_fo,BANKNIFTY,35013,FUTIDX,XX,-1.0,BANKNIFTY,BANKNIFTY NOV FUT,BANKNIFTY27NOV24F,2024-11-27,15.0,0.05,,,,
NFO,nse_fo,BANKNIFTY,35025,FUTIDX,XX,-1.0,BANKNIFTY,BANKNIFTY DEC FUT,BANKNIFTY24DEC24F,2024-12-24,15.0,0.05,,,,
NFO,nse_fo,AARTIIND,35028,FUTSTK,XX,-1.0,AARTI INDUSTRIES LTD,AARTIIND DEC FUT,AARTIIND26DEC24F,2024-12-26,1000.0,0.05,,,,
NFO,nse_fo,ABB,35029,FUTSTK,XX,-1.0,ABB INDIA LIMITED,ABB DEC FUT,ABB26DEC24F,2024-12-26,125.0,0.05,,,,
NFO,nse_fo,ABBOTINDIA,35030,FUTSTK,XX,-1.0,ABBOTT INDIA LIMITED,ABBOTINDIA DEC FUT,ABBOTINDIA26DEC24F,2024-12-26,20.0,0.05,,,,
NFO,nse_fo,ABCAPITAL,35031,FUTSTK,XX,-1.0,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL DEC FUT,ABCAPITAL26DEC24F,2024-12-26,5400.0,0.01,,,,
NFO,nse_fo,ABFRL,35047,FUTSTK,XX,-1.0,ADITYA BIRLA FASHION & RT,ABFRL DEC FUT,ABFRL26DEC24F,2024-12-26,2600.0,0.05,,,,
NFO,nse_fo,ACC,35048,FUTSTK,XX,-1.0,ACC LIMITED,ACC DEC FUT,ACC26DEC24F,2024-12-26,300.0,0.05,,,,
NFO,nse_fo,ADANIENT,35059,FUTSTK,XX,-1.0,ADANI ENTERPRISES LIMITED,ADANIENT DEC FUT,ADANIENT26DEC24F,2024-12-26,300.0,0.05,,,,
NFO,nse_fo,ADANIPORTS,35065,FUTSTK,XX,-1.0,ADANI PORT & SEZ LTD,ADANIPORTS DEC FUT,ADANIPORTS26DEC24F,2024-12-26,400.0,0.05,,,,
NFO,nse_fo,ALKEM,35074,FUTSTK,XX,-1.0,ALKEM LABORATORIES LTD.,ALKEM DEC FUT,ALKEM26DEC24F,2024-12-26,100.0,0.05,,,,
NFO,nse_fo,AMBUJACEM,35075,FUTSTK,XX,-1.0,AMBUJA CEMENTS LTD,AMBUJACEM DEC FUT,AMBUJACEM26DEC24F,2024-12-26,900.0,0.05,,,,
NFO,nse_fo,NIFTY,35089,FUTIDX,XX,-1.0,NIFTY,NIFTY NOV FUT,NIFTY28NOV24F,2024-11-28,25.0,0.05,,,,
NFO,nse_fo,APOLLOHOSP,35102,FUTSTK,XX,-1.0,APOLLO HOSPITALS ENTER. L,APOLLOHOSP DEC FUT,APOLLOHOSP26DEC24F,2024-12-26,125.0,0.05,,,,
NFO,nse_fo,APOLLOTYRE,35105,FUTSTK,XX,-1.0,APOLLO TYRES LTD,APOLLOTYRE DEC FUT,APOLLOTYRE26DEC24F,2024-12-26,1700.0,0.05,,,,
NFO,nse_fo,FINNIFTY,35117,FUTIDX,XX,-1.0,FINNIFTY,FINNIFTY NOV FUT,FINNIFTY26NOV24F,2024-11-26,25.0,0.05,,,,
NFO,nse_fo,AARTIIND,35129,FUTSTK,XX,-1.0,AARTI INDUSTRIES LTD,AARTIIND NOV FUT,AARTIIND28NOV24F,2024-11-28,1000.0,0.05,,,,
NFO,nse_fo,ABB,35137,FUTSTK,XX,-1.0,ABB INDIA LIMITED,ABB NOV FUT,ABB28NOV24F,2024-11-28,125.0,0.05,,,,
NFO,nse_fo,NIFTYNXT50,35150,FUTIDX,XX,-1.0,NIFTYNXT50,NIFTYNXT50 NOV FUT,NIFTYNXT5029NOV24F,2024-11-29,10.0,0.05,,,,
NFO,nse_fo,NIFTY,35217,OPTIDX,CE,30000.0,NIFTY,NIFTY DEC 30000 CE,NIFTY26DEC24C30000,2024-12-26,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35218,OPTIDX,PE,30000.0,NIFTY,NIFTY DEC 30000 PE,NIFTY26DEC24P30000,2024-12-26,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35219,OPTIDX,CE,30000.0,NIFTY,NIFTY 26th JUN25 30000 CE,NIFTY26JUN25C30000,2025-06-26,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35220,OPTIDX,PE,30000.0,NIFTY,NIFTY 26th JUN25 30000 PE,NIFTY26JUN25P30000,2025-06-26,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000.0,NIFTY,NIFTY 24th DEC25 30000 CE,NIFTY24DEC25C30000,2025-12-24,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000.0,NIFTY,NIFTY 24th DEC25 30000 PE,NIFTY24DEC25P30000,2025-12-24,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35229,OPTIDX,CE,30000.0,NIFTY,NIFTY 25th JUN26 30000 CE,NIFTY25JUN26C30000,2026-06-25,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35231,OPTIDX,PE,30000.0,NIFTY,NIFTY 25th JUN26 30000 PE,NIFTY25JUN26P30000,2026-06-25,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35235,OPTIDX,CE,30000.0,NIFTY,NIFTY 31st DEC26 30000 CE,NIFTY31DEC26C30000,2026-12-31,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35237,OPTIDX,PE,30000.0,NIFTY,NIFTY 31st DEC26 30000 PE,NIFTY31DEC26P30000,2026-12-31,25.0,0.05,,,,
NFO,nse_fo,FINNIFTY,35239,FUTIDX,XX,-1.0,FINNIFTY,FINNIFTY JAN25 FUT,FINNIFTY28JAN25F,2025-01-28,25.0,0.05,,,,
NFO,nse_fo,ASHOKLEY,35243,FUTSTK,XX,-1.0,ASHOK LEYLAND LTD,ASHOKLEY DEC FUT,ASHOKLEY26DEC24F,2024-12-26,5000.0,0.01,,,,
NFO,nse_fo,ASIANPAINT,35244,FUTSTK,XX,-1.0,ASIAN PAINTS LIMITED,ASIANPAINT DEC FUT,ASIANPAINT26DEC24F,2024-12-26,200.0,0.05,,,,
NFO,nse_fo,NIFTY,35262,OPTIDX,CE,30000.0,NIFTY,NIFTY 24th JUN27 30000 CE,NIFTY24JUN27C30000,2027-06-24,25.0,0.05,,,,
NFO,nse_fo,NIFTY,35263,OPTIDX,PE,30000.0,NIFTY,NIFTY 24th JUN27 30000 PE,NIFTY24JUN27P30000,2027-06-24,25.0,0.05,,,,
NFO,nse_fo,ASTRAL,35270,FUTSTK,XX,-1.0,ASTRAL LIMITED,ASTRAL DEC FUT,ASTRAL26DEC24F,2024-12-26,367.0,0.05,,,,
NFO,nse_fo,NIFTYNXT50,35279,FUTIDX,XX,-1.0,NIFTYNXT50,NIFTYNXT50 JAN25 FUT,NIFTYNXT5031JAN25F,2025-01-31,10.0,0.05,,,,
NFO,nse_fo,ATUL,35284,FUTSTK,XX,-1.0,ATUL LTD,ATUL DEC FUT,ATUL26DEC24F,2024-12-26,100.0,0.05,,,,
NFO,nse_fo,AUBANK,35285,FUTSTK,XX,-1.0,AU SMALL FINANCE BANK LTD,AUBANK DEC FUT,AUBANK26DEC24F,2024-12-26,1000.0,0.05,,,,
NFO,nse_fo,AUROPHARMA,35286,FUTSTK,XX,-1.0,AUROBINDO PHARMA LTD,AUROPHARMA DEC FUT,AUROPHARMA26DEC24F,2024-12-26,550.0,0.05,,,,
NFO,nse_fo,AXISBANK,35287,FUTSTK,XX,-1.0,AXIS BANK LIMITED,AXISBANK DEC FUT,AXISBANK26DEC24F,2024-12-26,625.0,0.05,,,,
NFO,nse_fo,BAJAJ-AUTO,35289,FUTSTK,XX,-1.0,BAJAJ AUTO LIMITED,BAJAJ-AUTO DEC FUT,BAJAJ-AUTO26DEC24F,2024-12-26,75.0,0.05,,,,
NFO,nse_fo,BAJAJFINSV,35290,FUTSTK,XX,-1.0,BAJAJ FINSERV LTD.,BAJAJFINSV DEC FUT,BAJAJFINSV26DEC24F,2024-12-26,500.0,0.05,,,,
NFO,nse_fo,BAJFINANCE,35291,FUTSTK,XX,-1.0,BAJAJ FINANCE LIMITED,BAJFINANCE DEC FUT,BAJFINANCE26DEC24F,2024-12-26,125.0,0.05,,,,
NFO,nse_fo,BALKRISIND,35300,FUTSTK,XX,-1.0,BALKRISHNA IND. LTD,BALKRISIND DEC FUT,BALKRISIND26DEC24F,2024-12-26,300.0,0.05,,,,
NFO,nse_fo,BANDHANBNK,35301,FUTSTK,XX,-1.0,BANDHAN BANK LIMITED,BANDHANBNK DEC FUT,BANDHANBNK26DEC24F,2024-12-26,2800.0,0.01,,,,
NFO,nse_fo,BANKBARODA,35304,FUTSTK,XX,-1.0,BANK OF BARODA,BANKBARODA DEC FUT,BANKBARODA26DEC24F,2024-12-26,2925.0,0.01,,,,
NFO,nse_fo,BATAINDIA,35305,FUTSTK,XX,-1.0,BATA INDIA LTD,BATAINDIA DEC FUT,BATAINDIA26DEC24F,2024-12-26,375.0,0.05,,,,
